AEROPUERTOS,ENTRADAS,SALIDAS,MES,AÑO,
CIBAO,81297,92774,ABRIL,2024,
GREGORIO LUPERON,41769,51356,ABRIL,2024,
LA ROMANA,5446,6355,ABRIL,2024,
JUAN BOSCH (EL CATEY),4599,5334,ABRIL,2024,
JOAQUÍN BALAGUER,1950,1942,ABRIL,2024,
MARIA MONTÉZ,0,0,ABRIL,2024,
AEROPUERTO DOMÉSTICO ARROYO BARRIL,10,13,ABRIL,2024,
AEROPUERTO DOMÉSTICO EXPEDICIÓN 14 DE JUNIO,11,11,ABRIL,2024,
AEROPUERTO DOMESTICO CABO ROJO,67,72,ABRIL,2024,
PUNTA CANA,403702,404403,MAYO,2024,
LAS AMERICAS,212816,237994,MAYO,2024,
CIBAO,88794,92147,MAYO,2024,
GREGORIO LUPERON,23119,25880,MAYO,2024,
LA ROMANA,3883,4084,MAYO,2024,
JUAN BOSCH (EL CATEY),2477,3149,MAYO,2024,
JOAQUÍN BALAGUER,1988,1785,MAYO,2024,
MARIA MONTÉZ,0,0,MAYO,2024,
AEROPUERTO DOMÉSTICO ARROYO BARRIL,21,17,MAYO,2024,
AEROPUERTO DOMÉSTICO EXPEDICIÓN 14 DE JUNIO,8,8,MAYO,2024,
AEROPUERTO DOMESTICO CABO ROJO,18,20,MAYO,2024,
PUNTA CANA,438208,427245,JUNIO,2024,
LAS AMERICAS,244323,251857,JUNIO,2024,
CIBAO,112202,98031,JUNIO,2024,
GREGORIO LUPERON,24569,22516,JUNIO,2024,
LA ROMANA,4654,4058,JUNIO,2024,
JUAN BOSCH (EL CATEY),2255,1689,JUNIO,2024,
JOAQUÍN BALAGUER,2025,1926,JUNIO,2024,
MARIA MONTÉZ,0,0,JUNIO,2024,
AEROPUERTO DOMÉSTICO ARROYO BARRIL,12,15,JUNIO,2024,
AEROPUERTO DOMÉSTICO EXPEDICIÓN 14 DE JUNIO,24,25,JUNIO,2024,
AEROPUERTO DOMESTICO CABO ROJO,71,71,JUNIO,2024,
PUNTA CANA,472323,465480,JULIO,2024,
LAS AMERICAS,271743,286760,JULIO,2024,
CIBAO,125072,116081,JULIO,2024,
GREGORIO LUPERON,31400,27532,JULIO,2024,
LA ROMANA,6944,6741,JULIO,2024,
JUAN BOSCH (EL CATEY),3992,3840,JULIO,2024,
JOAQUÍN BALAGUER,2696,2081,JULIO,2024,
MARIA MONTÉZ,0,0,JULIO,2024,
AEROPUERTO DOMÉSTICO ARROYO BARRIL,8,3,JULIO,2024,
AEROPUERTO DOMÉSTICO EXPEDICIÓN 14 DE JUNIO,38,38,JULIO,2024,
AEROPUERTO DOMESTICO CABO ROJO,12,16,JULIO,2024,
PUNTA CANA,389436,423753,AGOSTO,2024,
LAS AMERICAS,243645,281689,AGOSTO,2024,
CIBAO,111284,127309,AGOSTO,2024,
GREGORIO LUPERON,25532,28388,AGOSTO,2024,
LA ROMANA,6124,6155,AGOSTO,2024,
JUAN BOSCH (EL CATEY),4604,4879,AGOSTO,2024,
JOAQUÍN BALAGUER,2101,2457,AGOSTO,2024,
MARIA MONTÉZ,0,0,AGOSTO,2024,
AEROPUERTO DOMÉSTICO ARROYO BARRIL,8,10,AGOSTO,2024,
AEROPUERTO DOMÉSTICO EXPEDICIÓN 14 DE JUNIO,29,25,AGOSTO,2024,
AEROPUERTO DOMESTICO CABO ROJO,32,32,AGOSTO,2024,
PUNTA CANA,272847,296623,SEPTIEMBRE,2024,
LAS AMERICAS,188232,229010,SEPTIEMBRE,2024,
CIBAO,70614,92101,SEPTIEMBRE,2024,
GREGORIO LUPERON,15660,17183,SEPTIEMBRE,2024,
LA ROMANA,3172,4001,SEPTIEMBRE,2024,
JUAN BOSCH (EL CATEY),2198,2531,SEPTIEMBRE,2024,
JOAQUÍN BALAGUER,1924,1967,SEPTIEMBRE,2024,
MARIA MONTÉZ,0,0,SEPTIEMBRE,2024,
AEROPUERTO DOMÉSTICO ARROYO BARRIL,0,0,SEPTIEMBRE,2024,
AEROPUERTO DOMÉSTICO EXPEDICIÓN 14 DE JUNIO,8,3,SEPTIEMBRE,2024,
AEROPUERTO DOMESTICO CABO ROJO,30,30,SEPTIEMBRE,2024,
